Time,Event,Score
2026-04-03 20:40:23,Normal,42.0
2026-04-03 20:40:29,Normal,42.0
2026-04-03 20:47:03,No Face,10.5
2026-04-03 20:53:01,HEAD_MOVE,0.5
2026-04-03 20:53:11,HEAD_MOVE,2.5
2026-04-03 20:53:25,NO_FACE,6.5
2026-04-03 20:53:30,HIGH_SCORE,26.5
2026-04-03 20:53:35,NO_FACE,28.5
2026-04-03 20:53:36,HIGH_SCORE,28.5
2026-04-03 20:54:00,NO_FACE,30.5
2026-04-03 20:54:03,HIGH_SCORE,40.5
2026-04-03 20:54:24,HEAD_MOVE,41.0
2026-04-03 20:54:26,HIGH_SCORE,42.5
2026-04-03 20:54:34,NO_FACE,44.5
2026-04-03 20:54:37,HIGH_SCORE,52.5
2026-04-03 20:54:57,HEAD_MOVE,53.0
2026-04-03 20:54:59,HIGH_SCORE,54.5
2026-04-03 21:04:25,IDENTITY,5
2026-04-03 21:06:18,IDENTITY,5
2026-04-03 21:15:37,HEAD_MOVE,0.5
2026-04-03 21:15:45,HEAD_MOVE,3.0
2026-04-03 21:15:46,HEAD_MOVE,3.5
2026-04-03 21:15:56,NO_FACE,11.5
2026-04-03 21:16:00,IDENTITY,65.5
2026-04-03 21:16:01,HIGH_SCORE,65.5
2026-04-03 21:21:14,IDENTITY,5
2026-04-03 21:21:32,HEAD_MOVE,5.5
2026-04-03 21:21:40,HEAD_MOVE,8.5
2026-04-03 21:21:47,NO_FACE,17.0
2026-04-03 21:21:49,IDENTITY,50.0
2026-04-03 21:21:50,HIGH_SCORE,50.0
2026-04-05 09:11:02,IDENTITY,5
2026-04-05 09:11:05,IDENTITY,10
2026-04-05 09:24:17,HEAD_MOVE,0.5
2026-04-05 09:24:20,MULTIPLE,5.5
2026-04-05 09:24:20,HEAD_MOVE,6.0
2026-04-05 09:24:21,MULTIPLE,9.5
2026-04-05 09:24:23,IDENTITY,21.5
2026-04-05 09:24:24,MULTIPLE,41.0
2026-04-05 09:24:26,IDENTITY,72.0
2026-04-05 09:24:57,IDENTITY,5
2026-04-05 09:25:07,IDENTITY,5
2026-04-05 09:25:36,HEAD_MOVE,0.5
2026-04-05 09:25:43,HEAD_MOVE,5.0
2026-04-05 09:25:44,HEAD_MOVE,5.5
2026-04-05 09:25:56,HEAD_MOVE,15.0
2026-04-05 09:25:57,HEAD_MOVE,15.5
2026-04-05 09:25:59,HIGH_SCORE,17.5
2026-04-05 09:26:07,NO_FACE,24.5
2026-04-05 09:26:12,IDENTITY,106.5
2026-04-05 09:26:14,HIGH_SCORE,121.5
2026-04-05 10:44:35,HEAD_MOVE,0.5
2026-04-05 10:44:49,HEAD_MOVE,4.0
2026-04-05 10:44:52,HEAD_MOVE,6.5
2026-04-05 10:44:55,HEAD_MOVE,7.0
2026-04-05 10:45:07,NO_FACE,17.0
2026-04-05 10:45:10,IDENTITY,57.0
2026-04-05 10:45:10,HEAD_MOVE,57.5
2026-04-05 10:45:11,HIGH_SCORE,57.5
2026-04-05 12:01:35,HEAD_MOVE,0.5
2026-04-05 12:01:42,HEAD_MOVE,4.0
2026-04-05 12:01:43,IDENTITY,9.0
2026-04-05 12:01:46,HEAD_MOVE,26.0
2026-04-05 12:01:47,HIGH_SCORE,26.0
2026-04-05 12:01:54,IDENTITY,31.0
2026-04-05 12:01:55,NO_FACE,38.0
2026-04-05 12:01:59,HIGH_SCORE,101.0
2026-04-05 12:25:57,MOBILE,5
2026-04-05 12:25:58,MOBILE,10
2026-04-05 12:26:11,MOBILE,20
2026-04-05 12:26:16,HIGH_SCORE,40
2026-04-05 12:26:18,HEAD_MOVE,40.5
2026-04-05 12:26:33,HIGH_SCORE,50.0
2026-04-05 12:26:51,HEAD_MOVE,50.5
2026-04-05 12:26:58,HIGH_SCORE,54.0
2026-04-05 12:26:59,HEAD_MOVE,54.5
2026-04-05 12:27:00,HIGH_SCORE,54.5
2026-04-05 12:27:07,NO_FACE,61.5
2026-04-05 12:27:11,HIGH_SCORE,89.5
2026-04-05 12:56:54,MOBILE,5
2026-04-05 12:57:00,HIGH_SCORE,45
2026-04-05 12:57:08,IDENTITY,50
2026-04-05 12:57:11,HIGH_SCORE,70
2026-04-05 12:57:13,IDENTITY,75
2026-04-05 12:57:23,MULTIPLE,161.5
2026-04-05 12:57:27,IDENTITY,240.0
2026-04-05 13:29:13,MOBILE,5
2026-04-05 13:29:14,IDENTITY,10
2026-04-05 13:29:33,HIGH_SCORE,165
2026-04-05 13:29:51,IDENTITY,170
2026-04-05 13:29:52,MOBILE,180
2026-04-05 13:29:56,HIGH_SCORE,230
2026-04-05 13:29:58,IDENTITY,235
2026-04-05 13:30:02,HIGH_SCORE,255
2026-04-05 13:30:13,IDENTITY,260
2026-04-05 13:30:15,HIGH_SCORE,265
2026-04-05 13:30:17,IDENTITY,270
2026-04-05 13:30:32,MULTIPLE,409.0
2026-04-05 13:30:34,IDENTITY,424.0
2026-04-05 13:30:36,HIGH_SCORE,429.0
2026-04-06 10:20:31,HEAD_MOVE,0.5
2026-04-06 10:20:45,MOBILE,6.0
2026-04-06 10:20:52,HIGH_SCORE,31.0
2026-04-06 10:20:57,HEAD_MOVE,31.5
2026-04-06 10:21:02,IDENTITY,37.0
2026-04-06 10:21:10,HEAD_MOVE,63.5
2026-04-06 10:21:14,IDENTITY,68.5
2026-04-06 10:21:18,MULTIPLE,79.0
2026-04-06 10:21:22,IDENTITY,84.5
2026-04-06 10:21:26,NO_FACE,91.5
2026-04-06 10:21:29,MULTIPLE,102.0
2026-04-06 10:21:32,HIGH_SCORE,102.0
2026-04-06 10:21:36,HEAD_MOVE,102.5
2026-04-06 10:21:44,HIGH_SCORE,104.0
2026-04-06 10:21:50,HEAD_MOVE,104.5
2026-04-06 10:21:53,MULTIPLE,114.5
2026-04-06 13:29:29,IDENTITY,5
2026-04-06 13:29:34,MULTIPLE,26.0
2026-04-15 08:29:59,HEAD_MOVE,0.5
2026-04-15 08:30:05,HEAD_MOVE,1.0
2026-04-15 08:30:07,IDENTITY,7.0
2026-04-15 08:32:59,IDENTITY,5
2026-04-15 08:33:02,IDENTITY,15
2026-04-15 08:33:06,IDENTITY,20
2026-04-15 08:34:01,IDENTITY,5
2026-04-15 08:34:13,IDENTITY,10
2026-04-15 08:34:42,IDENTITY,5
2026-04-15 08:35:04,IDENTITY,5
2026-04-15 08:35:19,IDENTITY,5
2026-04-15 08:35:58,IDENTITY,5
2026-04-15 08:36:25,MOBILE,20
2026-04-15 08:36:26,IDENTITY,25
2026-04-15 08:36:27,MOBILE,35
2026-04-15 08:36:39,HIGH_SCORE,120
2026-04-15 08:36:45,HEAD_MOVE,120.5
2026-04-15 08:36:52,HIGH_SCORE,124.5
2026-04-15 08:36:55,HEAD_MOVE,125.0
2026-04-15 08:36:57,HIGH_SCORE,125.5
2026-04-15 08:37:03,HEAD_MOVE,126.0
2026-04-15 08:37:06,HIGH_SCORE,127.0
2026-04-15 08:37:15,HEAD_MOVE,127.5
2026-04-15 08:37:22,HIGH_SCORE,131.5
2026-04-15 08:37:35,IDENTITY,136.5
2026-04-15 08:37:35,MULTIPLE,146.5
2026-04-15 08:37:46,IDENTITY,283.0
2026-04-15 08:37:47,HEAD_MOVE,289.0
2026-04-15 08:37:49,HIGH_SCORE,289.5
2026-04-15 08:37:50,IDENTITY,295.0
2026-04-15 08:37:54,NO_FACE,324.5
2026-04-15 08:37:55,IDENTITY,337.5
2026-04-15 08:38:10,MULTIPLE,446.5
2026-04-15 08:38:18,HIGH_SCORE,526.5
2026-04-15 08:38:23,MULTIPLE,531.5
2026-04-17 14:32:40,IDENTITY,5
2026-04-17 14:33:42,MOBILE,5
2026-04-17 14:33:46,HIGH_SCORE,20
2026-04-17 14:33:48,HEAD_MOVE,20.5
2026-04-17 14:33:52,HIGH_SCORE,22.5
2026-04-17 14:33:53,HEAD_MOVE,23.0
2026-04-17 14:33:55,HIGH_SCORE,23.0
2026-04-17 14:33:57,IDENTITY,28.0
2026-04-17 14:34:03,HIGH_SCORE,66.0
2026-04-17 14:34:08,NO_FACE,73.0
2026-04-17 14:34:12,IDENTITY,92.5
2026-04-17 14:34:13,HIGH_SCORE,92.5
2026-04-21 18:46:20,HEAD_MOVE,0.5
2026-04-21 18:46:28,HEAD_MOVE,2.0
2026-04-21 18:46:31,HEAD_MOVE,2.5
2026-04-21 18:46:50,NO_FACE,9.5
2026-04-21 18:46:54,HIGH_SCORE,23.5
2026-04-21 18:47:05,IDENTITY,28.5
2026-04-21 18:47:06,HIGH_SCORE,28.5
2026-04-21 18:47:09,IDENTITY,33.5
2026-04-21 18:47:12,HIGH_SCORE,33.5
